City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
375,Sao Filipe,CV,74.68,clear sky,14.8961,-24.4956,Hotel Xaguate
376,Garowe,SO,70.59,scattered clouds,8.4054,48.4845,Curubo Hotel
379,Bacolod,PH,76.71,broken clouds,10.6667,122.95,Planta Hotel & Residences
380,Guerrero Negro,MX,66.36,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
382,Namibe,AO,74.03,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
387,Gizo,SB,82.58,light rain,-8.103,156.8419,Imagination Island
389,Jos,NG,65.75,clear sky,9.9167,8.9,Silk Suites
392,Chuy,UY,71.94,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
396,Garissa,KE,84.65,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
398,Sinnamary,GF,79.9,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
399,Alvorada,BR,83.95,light rain,-12.48,-49.1247,Cristal Plaza Hotel
400,Colac,AU,61.16,broken clouds,-38.3333,143.5833,Otway Gate Motel
402,Mattru,SL,82.58,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
403,Auki,SB,79.2,broken clouds,-8.7676,160.7034,Auki Motel
405,Ancud,CL,72.43,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
410,Kieta,PG,80.06,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
411,Biltine,TD,69.37,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
413,Lucea,JM,82.85,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
415,Boyuibe,BO,71.51,overcast clouds,-20.4167,-63.2833,Residencial Eluzai
420,Kavaratti,IN,78.69,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
423,El Segundo,US,71.11,clear sky,33.9192,-118.4165,Embassy Suites by Hilton Los Angeles International Airport South
428,Emerald,AU,69.94,clear sky,-23.5333,148.1667,The Irish Village
431,La Palma,US,72.18,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
435,Atambua,ID,74.43,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
440,Kilindoni,TZ,79.66,overcast clouds,-7.9139,39.6668,Bustani B&B
442,Tecoanapa,MX,82.31,clear sky,16.5167,-98.75,Hotel Manglares
443,Ziniare,BF,86.04,clear sky,12.5822,-1.2983,Privilège Hôtel de Ziniaré
444,Springbok,ZA,82.2,broken clouds,-29.6643,17.8865,Undulata Country Lodge
445,Buchanan,LR,84.16,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
452,Varkkallai,IN,82.18,overcast clouds,8.7341,76.7067,Hindustan Beach Retreat
454,Weligama,LK,73.96,clear sky,5.9667,80.4167,Weligama Bay Resort
