City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Emerald,AU,2022-01-27 03:38:33,-23.5333,148.1667,93.34,38,75,10.36
229,Bradford,GB,2022-01-27 03:40:37,53.7939,-1.7521,50.79,72,100,18.52
230,Ha Giang,VN,2022-01-27 03:40:37,22.8333,104.9833,74.25,79,78,4.34
231,Constantine,DZ,2022-01-27 03:40:38,36.365,6.6147,31.41,86,0,2.3
232,Nalut,LY,2022-01-27 03:38:42,30.3333,10.85,37.62,53,97,8.86
233,Sai Buri,TH,2022-01-27 03:40:38,6.7013,101.6168,83.91,66,73,11.5
234,Champerico,GT,2022-01-27 03:39:28,14.3,-91.9167,78.04,74,6,4.23
235,Gigmoto,PH,2022-01-27 03:36:59,13.7796,124.39,82.94,74,100,9.93
236,Barra,BR,2022-01-27 03:40:39,-11.0894,-43.1417,71.76,84,100,3.0
237,Malartic,CA,2022-01-27 03:40:40,48.1335,-78.1328,5.02,82,98,15.55
238,Ancud,CL,2022-01-27 03:40:40,-41.8697,-73.8203,56.73,76,0,1.03
239,Muroto,JP,2022-01-27 03:40:41,33.2833,134.15,55.44,58,65,4.94
240,Grand Gaube,MU,2022-01-27 03:40:41,-20.0064,57.6608,80.38,60,17,5.01
241,Acapulco,MX,2022-01-27 03:36:00,16.8634,-99.8901,78.62,83,20,3.44
242,Suluq,LY,2022-01-27 03:40:42,31.6682,20.2521,50.94,70,98,9.69
243,Clyde River,CA,2022-01-27 03:40:42,70.4692,-68.5914,-9.17,84,100,23.02
244,New Iberia,US,2022-01-27 03:40:43,30.0035,-91.8187,42.76,75,0,8.05
245,Lasa,IT,2022-01-27 03:40:43,46.6166,10.7002,45.86,50,77,6.26
246,Pithoragarh,IN,2022-01-27 03:40:44,29.5833,80.2167,40.55,74,10,1.61
247,Necochea,AR,2022-01-27 03:40:44,-38.5473,-58.7368,62.04,58,0,13.67
248,Norrtalje,SE,2022-01-27 03:40:44,59.758,18.705,36.23,93,98,7.96
249,Marsa Matruh,EG,2022-01-27 03:40:45,31.3525,27.2453,44.8,81,75,11.5
250,Sao Joao Da Barra,BR,2022-01-27 03:40:45,-21.6403,-41.0511,74.91,86,4,18.05
251,Nome,US,2022-01-27 03:40:45,64.5011,-165.4064,-18.33,76,0,0.0
252,Batiano,PH,2022-01-27 03:40:46,7.5534,126.4907,80.78,82,76,4.36
253,Isangel,VU,2022-01-27 03:40:46,-19.55,169.2667,86.11,84,100,2.3
254,Saint-Georges,GD,2022-01-27 03:40:13,12.0564,-61.7485,76.68,83,40,9.22
255,Shelburne,CA,2022-01-27 03:40:47,44.0787,-80.2041,9.05,79,51,12.82
256,Kenai,US,2022-01-27 03:40:47,60.5544,-151.2583,25.14,74,100,11.5
257,Pangody,RU,2022-01-27 03:40:48,65.85,74.4859,-1.1,98,100,9.33
258,Dikson,RU,2022-01-27 03:40:48,73.5069,80.5464,11.61,92,100,27.72
259,Vardo,NO,2022-01-27 03:40:49,70.3705,31.1107,14.2,73,100,12.33
260,Kununurra,AU,2022-01-27 03:36:12,-15.7667,128.7333,91.38,62,40,14.97
261,Sawakin,SD,2022-01-27 03:40:49,19.1059,37.3321,68.72,55,84,16.46
262,Havoysund,NO,2022-01-27 03:39:09,70.9963,24.6622,27.48,76,100,5.95
263,Sabha,LY,2022-01-27 03:40:50,27.0377,14.4283,38.75,56,6,8.37
264,Hondo,JP,2022-01-27 03:40:50,32.45,130.2,48.15,58,98,5.53
265,Provideniya,RU,2022-01-27 03:40:39,64.3833,-173.3,-3.64,71,75,4.47
266,Buenos Aires,AR,2022-01-27 03:40:42,-34.6132,-58.3772,62.96,70,0,11.5
267,Lompoc,US,2022-01-27 03:40:51,34.6391,-120.4579,56.12,88,0,0.0
268,Chemax,MX,2022-01-27 03:40:51,20.65,-87.9333,69.12,99,31,3.36
269,Vannes,FR,2022-01-27 03:40:52,47.8333,-2.5,36.86,94,0,2.68
270,Sibut,CF,2022-01-27 03:40:52,5.718,19.0739,69.94,28,100,4.76
271,Dinar,TR,2022-01-27 03:40:53,38.065,30.1656,17.56,95,16,3.87
272,Berlevag,NO,2022-01-27 03:38:03,70.8578,29.0864,24.94,80,100,13.02
273,Harper,LR,2022-01-27 03:40:53,4.375,-7.7169,78.39,82,16,5.88
274,Russell,US,2022-01-27 03:40:54,32.3502,-85.1999,45.68,41,0,6.91
275,Koboko,UG,2022-01-27 03:40:54,3.4136,30.9599,67.84,36,90,2.17
276,Caravelas,BR,2022-01-27 03:39:13,-17.7125,-39.2481,74.03,93,67,3.38
277,Steamboat Springs,US,2022-01-27 03:40:55,40.485,-106.8317,22.5,72,100,0.0
278,Phibun Mangsahan,TH,2022-01-27 03:40:56,15.2447,105.2291,84.18,32,26,4.97
279,Pandan,PH,2022-01-27 03:40:56,14.0453,124.1694,82.94,75,91,9.46
280,Broken Hill,AU,2022-01-27 03:40:57,-31.95,141.4333,98.31,23,40,10.36
281,Kutum,SD,2022-01-27 03:40:57,14.2,24.6667,47.82,32,100,12.24
282,Serenje,ZM,2022-01-27 03:40:58,-13.2325,30.2352,59.9,99,100,5.32
283,Makokou,GA,2022-01-27 03:40:58,0.5738,12.8642,69.93,93,82,1.97
284,Poum,NC,2022-01-27 03:40:58,-20.2333,164.0167,81.54,75,25,12.5
285,Avenal,US,2022-01-27 03:40:59,36.0041,-120.129,54.54,38,0,0.98
286,Arraial Do Cabo,BR,2022-01-27 03:40:59,-22.9661,-42.0278,75.09,86,10,22.08
287,Owando,CG,2022-01-27 03:41:00,-0.4819,15.8999,69.78,86,32,2.84
288,Saldanha,ZA,2022-01-27 03:41:00,-33.0117,17.9442,59.05,92,0,11.65
