City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Derzhavinsk,KZ,51.1,66.3167,17.15,76,100,15.55,overcast clouds
251,Lebu,CL,-37.6167,-73.65,64.22,68,0,20.09,clear sky
252,Victoria,HK,22.2855,114.1577,61.25,82,100,8.99,overcast clouds
253,Tumbagaan,PH,5.3656,120.3139,79.72,81,100,10.69,overcast clouds
254,Virtsu,EE,58.5716,23.5115,35.58,84,7,9.78,clear sky
255,Itamaraca,BR,-7.7478,-34.8256,86.68,61,27,9.48,scattered clouds
256,Tarnos,FR,43.5417,-1.4628,47.55,71,0,5.75,clear sky
257,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,82.22,77,100,5.84,overcast clouds
258,Marsh Harbour,BS,26.5412,-77.0636,73.96,57,0,4.12,clear sky
259,Kamyshlov,RU,56.8428,62.7111,13.24,90,100,6.44,overcast clouds
260,Abu Dhabi,AE,24.4667,54.3667,71.71,80,75,1.99,broken clouds
261,Bontang,ID,0.1333,117.5,77.27,88,100,8.61,overcast clouds
262,Chumikan,RU,54.7183,135.315,-1.68,77,100,12.15,overcast clouds
263,Balykshi,KZ,47.0667,51.8667,30.2,86,75,24.61,mist
264,Necochea,AR,-38.5473,-58.7368,63.03,72,100,23.11,overcast clouds
265,Manggar,ID,-2.8833,108.2667,78.24,86,100,6.89,light rain
266,Yumen,CN,40.2833,97.2,15.15,38,100,12.95,overcast clouds
267,Dingle,PH,10.9995,122.6711,74.71,83,88,11.16,overcast clouds
268,Longonjo,AO,-12.9067,15.2533,63.95,72,100,2.91,overcast clouds
269,Peace River,CA,56.2501,-117.286,8.91,85,100,11.5,light snow
270,Navashino,RU,55.5292,42.2003,4.24,100,98,2.33,overcast clouds
271,Quimper,FR,48.0,-4.1,49.03,87,100,8.05,overcast clouds
272,Salalah,OM,17.0151,54.0924,77.09,69,75,3.44,broken clouds
273,Banda Aceh,ID,5.5577,95.3222,79.05,78,100,4.92,overcast clouds
274,Morondava,MG,-20.2833,44.2833,79.81,79,100,12.66,overcast clouds
275,Tabora,TZ,-5.0167,32.8,64.54,93,100,1.68,overcast clouds
276,Plettenberg Bay,ZA,-34.0527,23.3716,69.06,83,6,13.78,clear sky
277,Kruisfontein,ZA,-34.0033,24.7314,66.88,83,45,19.66,scattered clouds
278,Maumere,ID,-8.6199,122.2111,79.14,82,33,8.19,scattered clouds
279,Mahina,PF,-17.5065,-149.489,82.17,65,20,2.3,few clouds
280,Yatou,CN,37.15,122.3833,29.03,53,99,13.2,overcast clouds
281,Madera,US,37.1666,-119.8343,65.97,39,100,2.93,overcast clouds
282,Ahipara,NZ,-35.1667,173.1667,71.49,98,96,5.91,overcast clouds
283,Panaba,MX,21.2833,-88.2667,78.64,66,95,15.77,overcast clouds
284,Bambous Virieux,MU,-20.3428,57.7575,80.22,89,75,20.71,light intensity shower rain
285,Maniitsoq,GL,65.4167,-52.9,5.4,91,100,11.92,snow
286,Maragogi,BR,-9.0122,-35.2225,82.85,60,100,10.56,overcast clouds
287,Nikolskoye,RU,59.7035,30.7861,24.87,94,100,9.95,light snow
288,Aripuana,BR,-9.1667,-60.6333,81.32,90,74,2.24,broken clouds
289,Ostashkov,RU,57.1467,33.1075,18.75,95,100,9.6,snow
290,Palmer,US,42.1584,-72.3287,25.93,55,20,8.01,few clouds
291,Vila Velha,BR,-20.3297,-40.2925,84.15,79,40,10.0,scattered clouds
292,Ukiah,US,39.1502,-123.2078,65.03,57,0,0.0,clear sky
293,Paragominas,BR,-2.9667,-47.4833,79.79,91,100,3.94,overcast clouds
294,Beira,MZ,-19.8436,34.8389,84.29,65,20,14.97,few clouds
295,Buala,SB,-8.145,159.5921,80.74,83,91,7.14,overcast clouds
296,Puerto Del Rosario,ES,28.5004,-13.8627,69.48,68,0,11.5,clear sky
297,Brigantine,US,39.4101,-74.3646,34.05,50,0,25.32,clear sky
298,Pevek,RU,69.7008,170.3133,-28.68,99,37,3.47,scattered clouds
299,Del Rio,US,29.3627,-100.8968,48.31,37,0,5.75,clear sky
300,Dawei,MM,14.0833,98.2,71.56,91,32,3.83,scattered clouds
301,Cherskiy,RU,68.75,161.3,-32.93,96,12,1.41,few clouds
302,Pacifica,US,37.6138,-122.4869,60.39,67,75,1.99,broken clouds
303,Ubauro,PK,28.1652,69.7289,62.49,18,0,9.93,clear sky
304,Sukhobuzimskoye,RU,56.5,93.2728,28.04,77,100,11.25,overcast clouds
305,Saldanha,ZA,-33.0117,17.9442,82.45,73,0,7.45,clear sky
306,Kavieng,PG,-2.5744,150.7967,81.19,78,30,5.19,scattered clouds
307,Phan Thiet,VN,10.9333,108.1,72.1,72,91,8.32,overcast clouds
308,Mayo,US,38.8876,-76.5119,34.95,47,0,14.0,clear sky
309,Tucuman,AR,-26.8241,-65.2226,84.2,48,40,3.44,scattered clouds
310,Tommot,RU,58.9564,126.2925,-11.38,100,100,2.73,overcast clouds
311,Buffalo,US,42.8865,-78.8784,20.01,68,75,9.22,broken clouds
312,Balod,IN,20.73,81.2047,57.45,28,21,3.69,few clouds
313,Yining,CN,29.0361,114.5636,39.34,85,100,3.29,overcast clouds
314,Westport,US,41.1415,-73.3579,29.79,64,20,4.0,few clouds
315,Sunland Park,US,31.7965,-106.58,41.67,42,0,1.01,clear sky
316,Luderitz,NA,-26.6481,15.1594,68.77,76,96,4.99,overcast clouds
317,Starkville,US,33.4504,-88.8184,42.8,48,0,7.72,clear sky
318,Hami,CN,42.8,93.45,26.55,28,100,11.48,overcast clouds
319,Waddan,LY,29.1614,16.139,58.62,21,0,3.51,clear sky
320,Beyneu,KZ,45.3167,55.2,34.14,96,100,21.5,overcast clouds
321,Morwell,AU,-38.2333,146.4,57.34,95,26,4.97,scattered clouds
322,Haines Junction,CA,60.7522,-137.5108,8.55,92,100,4.61,overcast clouds
323,Rovaniemi,FI,66.5,25.7167,22.41,100,100,13.8,overcast clouds
324,Poopo,BO,-18.3667,-66.9667,56.17,39,20,4.72,few clouds
325,Ribeira Grande,PT,38.5167,-28.7,63.0,72,40,11.5,scattered clouds
326,Ulladulla,AU,-35.35,150.4667,64.09,76,99,10.54,overcast clouds
327,Arroyo,ES,41.6096,-4.7969,44.15,65,0,9.22,clear sky
328,Olafsvik,IS,64.8945,-23.7142,30.29,73,100,20.13,light snow
329,Uyuni,BO,-20.4597,-66.825,61.77,19,0,13.73,clear sky
330,Kamenka,RU,51.3223,42.7678,7.14,97,82,8.59,broken clouds
331,Halifax,CA,44.6453,-63.5724,26.22,89,100,8.01,overcast clouds
332,Karacakoy,TR,41.4029,28.3834,44.64,87,4,9.73,clear sky
333,Zanjan,IR,36.6736,48.4787,26.2,87,20,8.1,few clouds
334,Hualmay,PE,-11.0964,-77.6139,75.94,69,26,12.01,scattered clouds
335,Hasaki,JP,35.7333,140.8333,23.4,35,7,9.44,clear sky
336,Henties Bay,NA,-22.116,14.2845,68.86,80,11,5.97,few clouds
337,Neiafu,TO,-18.65,-173.9833,79.48,94,100,4.61,overcast clouds
338,Miami Beach,US,25.7906,-80.1301,83.01,68,75,1.01,broken clouds
339,Luz,BR,-19.8014,-45.6856,82.08,65,42,3.44,scattered clouds
340,Mahajanga,MG,-15.7167,46.3167,82.42,83,40,13.8,scattered clouds
341,Watertown,US,42.3709,-71.1828,26.74,65,40,11.01,light snow
342,Clarence Town,AU,-32.5833,151.7833,70.86,89,90,4.03,overcast clouds
343,Quelimane,MZ,-17.8786,36.8883,80.55,74,40,4.61,scattered clouds
344,Villa Carlos Paz,AR,-31.4241,-64.4978,69.04,38,85,8.01,overcast clouds
345,Tokur,RU,53.1333,132.9,-20.79,100,100,2.37,overcast clouds
